Symbol,Name,Sector,Industry,MarketCap,SummaryQuote,ADRTSO,?field0,LastSale,
"MLCO","Melco Resorts & Entertainment Limited","Consumer Services","Hotels/Resorts",4015244161.94,"https://www.nasdaq.com/symbol/mlco","241736554",null,16.61,
"DCIX","Diana Containerships Inc.","Transportation","Marine Transportation",20316227.4,"https://www.nasdaq.com/symbol/dcix",null,null,2.04,
"VBLT","Vascular Biogenics Ltd.","Health Care","Major Pharmaceuticals",45177880.86,"https://www.nasdaq.com/symbol/vblt",null,2014,1.26,
"FTNT","Fortinet Inc.","Technology","Computer peripheral equipment",13353362834.1,"https://www.nasdaq.com/symbol/ftnt",null,2009,78.95,
"SPSC","SPS Commerce Inc.","Technology","Computer Software: Prepackaged Software",1634684304.96,"https://www.nasdaq.com/symbol/spsc",null,2010,92.54,
"EGBN","Eagle Bancorp Inc.","Finance","Major Banks",1716812001.72,"https://www.nasdaq.com/symbol/egbn",null,null,50.04,
"AMKR","Amkor Technology Inc.","Technology","Semiconductors",1717490213.28,"https://www.nasdaq.com/symbol/amkr",null,1998,7.17,
"CDMOP","Avid Bioservices Inc.","Health Care","Major Pharmaceuticals",18095000,"https://www.nasdaq.com/symbol/cdmop",null,null,25.85,
"MESA","Mesa Air Group Inc.","Transportation","Air Freight/Delivery Services",324083787.75,"https://www.nasdaq.com/symbol/mesa",null,2018,13.59,
"CDNA","CareDx Inc.","Health Care","Medical Specialities",892297344.2,"https://www.nasdaq.com/symbol/cdna",null,2014,24.55,
"CIFS","China Internet Nationwide Financial Services Inc.","Consumer Services","Professional Services",44228376,"https://www.nasdaq.com/symbol/cifs",null,2017,2,
"VALX","Validea Market Legends ETF",null,null,24174000,"https://www.nasdaq.com/symbol/valx",null,null,26.86,
"SPNS","Sapiens International Corporation N.V.","Technology","Computer Software: Prepackaged Software",554538672.7,"https://www.nasdaq.com/symbol/spns",null,1992,11.14,
"TMCXU","Trinity Merger Corp.","Finance","Business Services",0,"https://www.nasdaq.com/symbol/tmcxu",null,2018,10.2,
"SPOK","Spok Holdings Inc.","Public Utilities","Telecommunications Equipment",282112957,"https://www.nasdaq.com/symbol/spok",null,null,14.5,
